Title,Assignee,Status,Priority,Estimate,Size,Iteration
Add dry-run mode to Push All Projects,Self,Todo,P0,3,M,
Add colour-coded summary output,Self,Todo,P0,2,S,
Add commit message type selection,Self,Todo,P0,3,M,
Add pause at end of script,Self,Todo,P1,0.5,S,
Add PAT environment variable check,Self,Todo,P0,1,S,
Add skip-repo option during scanning,Self,Todo,P1,2,M,
Add push-only-these-repos filter,Self,Todo,P1,3,M,
Add commit message templates,Self,Todo,P1,1,S,
Add repo-specific default commit types,Self,Todo,P2,1,S,
Add auto-suggest commit type,Self,Todo,P2,4,M,
Add repo health check,Self,Todo,P1,3,M,
Add rename confirmation prompts,Self,Todo,P2,1,S,
Add archive reporting,Self,Todo,P2,1,S,
Add auto-skip archived repos,Self,Todo,P2,1,S,
Add dry-run mode to Repo Manager,Self,Todo,P1,3,M,
Integrate Push All Projects into Repo Manager,Self,Todo,P3,10,L,
Extend Documentation Index Generator to create MasterProjectList.md,Self,Todo,P0,4,M,
Add documentation completeness checker,Self,Todo,P1,3,M,
Add documentation health check,Self,Todo,P1,3,M,
Auto-update MasterProjectList when new project is created,Self,Todo,P3,8,L,
Auto-generate architecture stubs for new projects,Self,Todo,P2,2,M,
Auto-generate README.md from template,Self,Todo,P2,1,S,
Design New Project Wizard,Self,Todo,P0,6,L,
Automate folder creation,Self,Todo,P1,2,M,
Automate GitHub repo creation,Self,Todo,P1,3,M,
Automate MasterProjectList update,Self,Todo,P3,6,L,
Automate documentation index update,Self,Todo,P2,2,M,
Automate initial commit and push,Self,Todo,P2,2,M,
Port Repo Manager to Python,Self,Todo,P3,12,L,
Port Push All Projects to Python,Self,Todo,P3,12,L,
Package Python version as EXE,Self,Todo,P3,6,M,
Build GUI wrapper for ecosystem tools,Self,Todo,P3,10,L,
Add ecosystem health dashboard,Self,Todo,P3,8,L,